S&P 500,IBM,Apple
0.0395,0.0422,0.0039
-0.0313,-0.0608,0.0838
0.0495,0.0206,0.1412
-0.015,-0.0813,-0.1183
0.0208,0.0319,0.0224
0.0181,-0.0505,0.0003
0.036,0.0621,0.0028
0.0111,-0.0068,-0.0253
0.0504,0.0601,-0.1441
0.0071,0.0078,-0.0907
0.0028,-0.0187,-0.0124
-0.0198,-0.0622,-0.1076
0.0242,0.0647,0.0028
0.0198,-0.0015,0.0939
0.0126,0.002,0.0458
0.0396,0.0139,0.0109
-0.0627,-0.0646,-0.0107
-0.0075,-0.0075,-0.026
0.0313,0.0606,0.1053
0.0406,0.0254,0.1883
0.0436,0.0474,0.1271
0.0085,-0.0219,0.0596
-0.0051,0.0223,-0.0558
0.1077,0.0558,0.0615
-0.0718,0.0172,-0.0091
-0.0568,-0.0505,-0.0145
-0.0215,0.0601,0.1633
-0.0183,0.0155,-0.0349
-0.0135,-0.0053,-0.0066
0.0285,0.046,0.0047
-0.001,0.0074,-0.0133
0.032,0.0032,0.0409
0.0226,0.1038,0.052
0.0653,0.0375,0.0367
-0.0023,-0.0106,0.0338
0.0369,0.0706,0.0607
0.0876,0.0894,0.1672
-0.0474,-0.0363,-0.055
0.0688,0.0399,0.0227
-0.0539,-0.0142,-0.0208
-0.082,-0.0241,-0.0161
0.0148,0.0059,0.111
0.0588,0.0085,0.1485
0.0285,0.0437,0.0654
-0.037,-0.0651,-0.0886
0.0178,0.036,0.0542
0.0574,0.0523,0.0605
-0.0198,0.0083,0.017
0.0357,0.0132,0.1019
0.0336,0.0058,0.0295
0.0741,0.1293,0.1472
0.0002,-0.0175,0.0488
0.0531,0.0351,0.0793
0.0939,0.0652,0.1971
0.0854,0.0529,0.177
-0.1099,0.0096,-0.0091
-0.0857,0.089,0.056
0.0078,0.0314,-0.079
-0.0748,-0.1174,-0.1387
-0.1694,-0.2051,-0.0534
-0.0908,-0.0392,-0.3296
0.0122,-0.0451,0.0666
-0.0099,0.0797,-0.0507
-0.086,-0.0842,-0.1129
0.0107,0.0767,0.0851
0.0475,0.0483,0.2122
-0.006,0.0113,0.1478
-0.0348,0.0671,-0.0763
-0.0612,-0.0091,-0.3167
-0.0086,0.0277,0.087
-0.044,-0.091,-0.0407
0.0148,-0.0143,0.2377
0.0358,0.0095,0.1083
0.0129,0.0582,0.051
-0.032,0.0514,0.0796
-0.0178,-0.0127,0.007
0.0325,0.0471,0.2143
0.0433,0.0843,0.0741
0.01,0.0141,0.0981
-0.0218,-0.0598,-0.0131
0.0141,0.0206,0.0105
0.0126,0.0569,-0.0744
0.0165,-0.0012,0.1305
0.0315,0.1268,0.0532
0.0246,0.012,0.1346
0.0213,0.0502,-0.0015
0.0051,0.0077,0.1865
0.0001,-0.0386,-0.0418
-0.0309,-0.0261,-0.1509
0.0122,-0.0017,0.1223
0.0111,0.0278,-0.0842
0.0005,-0.0105,-0.093
0.0255,-0.011,0.0503
-0.001,-0.0754,0.06
0.0352,0.0883,0.1776
-0.0177,0.0208,0.0742
0.0069,-0.005,0.1434
-0.0112,-0.0317,0.0993
0.036,0.1247,0.1587
-0.0001,-0.0179,-0.0742
0.03,-0.0081,0.1027
-0.0201,-0.1642,-0.1347
-0.0191,-0.0129,-0.0711
0.0189,-0.0071,0.1669
