Date	djia	Time	djia_lag
1/1/96	5117.12	1	
1/2/96	5177.45	2	5117.12
1/3/96	5194.07	3	5177.45
1/4/96	5173.84	4	5194.07
1/5/96	5181.43	5	5173.84
1/8/96	5197.68	6	5181.43
1/9/96	5130.13	7	5197.68
1/10/96	5032.94	8	5130.13
1/11/96	5065.1	9	5032.94
1/12/96	5061.12	10	5065.1
1/15/96	5043.78	11	5061.12
1/16/96	5088.22	12	5043.78
1/17/96	5066.9	13	5088.22
1/18/96	5124.35	14	5066.9
1/19/96	5184.68	15	5124.35
1/22/96	5219.36	16	5184.68
1/23/96	5192.27	17	5219.36
1/24/96	5242.84	18	5192.27
1/25/96	5216.83	19	5242.84
1/26/96	5271.75	20	5216.83
1/29/96	5304.98	21	5271.75
1/30/96	5381.21	22	5304.98
1/31/96	5395.3	23	5381.21
2/1/96	5405.06	24	5395.3
2/2/96	5373.99	25	5405.06
2/5/96	5407.59	26	5373.99
2/6/96	5459.61	27	5407.59
2/7/96	5492.12	28	5459.61
2/8/96	5539.45	29	5492.12
2/9/96	5541.62	30	5539.45
2/12/96	5600.15	31	5541.62
2/13/96	5601.23	32	5600.15
2/14/96	5579.55	33	5601.23
2/15/96	5551.37	34	5579.55
2/16/96	5503.32	35	5551.37
2/19/96	5503.32	36	5503.32
2/20/96	5458.53	37	5503.32
2/21/96	5515.97	38	5458.53
2/22/96	5608.46	39	5515.97
2/23/96	5630.49	40	5608.46
2/26/96	5565.1	41	5630.49
2/27/96	5549.21	42	5565.1
2/28/96	5506.21	43	5549.21
2/29/96	5485.62	44	5506.21
3/1/96	5536.56	45	5485.62
3/4/96	5600.15	46	5536.56
3/5/96	5642.42	47	5600.15
3/6/96	5629.77	48	5642.42
3/7/96	5641.69	49	5629.77
3/8/96	5470.45	50	5641.69
3/11/96	5581	51	5470.45
3/12/96	5583.89	52	5581
3/13/96	5568.72	53	5583.89
3/14/96	5586.06	54	5568.72
3/15/96	5584.97	55	5586.06
3/18/96	5683.6	56	5584.97
3/19/96	5669.51	57	5683.6
3/20/96	5655.42	58	5669.51
3/21/96	5626.88	59	5655.42
3/22/96	5636.64	60	5626.88
3/25/96	5643.86	61	5636.64
3/26/96	5670.6	62	5643.86
3/27/96	5626.88	63	5670.6
3/28/96	5630.85	64	5626.88
3/29/96	5587.14	65	5630.85
4/1/96	5637.72	66	5587.14
4/2/96	5671.68	67	5637.72
4/3/96	5689.74	68	5671.68
4/4/96	5682.88	69	5689.74
4/5/96	5682.88	70	5682.88
4/8/96	5594.37	71	5682.88
4/9/96	5560.41	72	5594.37
4/10/96	5485.98	73	5560.41
4/11/96	5487.07	74	5485.98
4/12/96	5532.59	75	5487.07
4/15/96	5592.92	76	5532.59
4/16/96	5620.02	77	5592.92
4/17/96	5549.93	78	5620.02
4/18/96	5551.74	79	5549.93
4/19/96	5535.48	80	5551.74
4/22/96	5564.74	81	5535.48
4/23/96	5588.59	82	5564.74
4/24/96	5553.9	83	5588.59
4/25/96	5566.91	84	5553.9
4/26/96	5567.99	85	5566.91
4/29/96	5573.41	86	5567.99
4/30/96	5569.08	87	5573.41
5/1/96	5575.22	88	5569.08
5/2/96	5498.27	89	5575.22
